,Unnamed: 0,Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014","Mortality Rate, 1981*","Mortality Rate, 1982*","Mortality Rate, 1983*","Mortality Rate, 1984*","Mortality Rate, 1986*","Mortality Rate, 1987*","Mortality Rate, 1988*","Mortality Rate, 1989*","Mortality Rate, 1991*","Mortality Rate, 1992*","Mortality Rate, 1993*","Mortality Rate, 1994*","Mortality Rate, 1996*","Mortality Rate, 1997*","Mortality Rate, 1998*","Mortality Rate, 1999*","Mortality Rate, 2001*","Mortality Rate, 2002*","Mortality Rate, 2003*","Mortality Rate, 2004*","Mortality Rate, 2006*","Mortality Rate, 2007*","Mortality Rate, 2008*","Mortality Rate, 2009*","Mortality Rate, 2011*","Mortality Rate, 2012*","Mortality Rate, 2013*","Mortality Rate, 2020*","Mortality Rate, 2019*","Mortality Rate, 2018*","Mortality Rate, 2017*","Mortality Rate, 2016*","Mortality Rate, 2015*",County,State
1,1,Alabama,1.0,516.87,485.17,436.61,414.45,397.4,352.09,310.55,310.59,"-39.91 (-40.97, -38.84)",510.53,504.19000000000005,497.85,491.5100000000001,475.458,465.746,456.034,446.322,432.178,427.746,423.314,418.882,411.04,407.63,404.22,400.81,388.338,379.276,370.214,361.152,343.782,335.474,327.166,318.858,310.558,310.56600000000003,310.574,262.5485723076923,268.6369138461539,274.7252553846154,280.81359692307694,286.9019384615385,292.99028000000004,,
2,2,"Autauga County, Alabama",1001.0,552.68,523.12,470.3,437.74,413.92,368.83,316.82,316.36,"-42.76 (-47.26, -37.68)",546.768,540.856,534.944,529.032,512.556,501.992,491.428,480.864,463.788,457.276,450.764,444.252,432.976,428.212,423.448,418.684,404.902,395.884,386.866,377.848,358.428,348.02599999999995,337.624,327.22200000000004,316.728,316.636,316.544,259.8020338461538,266.99098307692304,274.1799323076923,281.3688815384615,288.5578307692307,295.74677999999994,Autauga,Alabama
3,3,"Baldwin County, Alabama",1003.0,445.67,419.28,379.58,357.73,333.18,308.99,279.98,272.04,"-38.96 (-42.73, -34.94)",440.39200000000005,435.114,429.836,424.558,411.34,403.4,395.46,387.52,375.21,370.84,366.47,362.1,352.82000000000005,347.91,343.0,338.09000000000003,328.34200000000004,323.504,318.66600000000005,313.82800000000003,303.188,297.386,291.584,285.78200000000004,278.39200000000005,276.80400000000003,275.216,237.39247384615388,242.1609630769231,246.92945230769232,251.69794153846155,256.4664307692308,261.23492,Baldwin,Alabama
4,4,"Barbour County, Alabama",1005.0,515.53,468.71,417.73,387.08,364.29,301.04,264.63,255.09,"-50.52 (-54.72, -45.98)",506.166,496.802,487.438,478.074,458.514,448.318,438.122,427.926,411.6,405.47,399.34,393.21,382.522,377.964,373.406,368.848,351.64000000000004,338.99,326.34000000000003,313.69000000000005,293.75800000000004,286.476,279.194,271.91200000000003,262.722,260.814,258.906,197.23019692307696,204.82110153846156,212.4120061538462,220.0029107692308,227.59381538461543,235.18472000000003,Barbour,Alabama
5,5,"Bibb County, Alabama",1007.0,548.69,532.76,484.34,491.84,463.34,409.25,374.27,378.09,"-31.09 (-37.21, -24.74)",545.504,542.318,539.1320000000001,535.946,523.076,513.392,503.708,494.024,485.84,487.34,488.84,490.34,486.14,480.44,474.74,469.04,452.5220000000001,441.704,430.886,420.068,402.254,395.258,388.262,381.266,375.034,375.798,376.562,326.6157323076923,332.70033384615385,338.7849353846154,344.8695369230769,350.9541384615385,357.03873999999996,Bibb,Alabama
6,6,"Blount County, Alabama",1009.0,473.26,451.88,412.63,399.31,378.91,347.79,307.45,307.9,"-34.94 (-40.33, -29.47)",468.984,464.708,460.432,456.156,444.03,436.18,428.33,420.48,409.96600000000007,407.302,404.638,401.9740000000001,395.23,391.15,387.0700000000001,382.99000000000007,372.686,366.462,360.23800000000006,354.014,339.72200000000004,331.654,323.586,315.51800000000003,307.54,307.63,307.72,268.35947692307695,273.49746153846155,278.63544615384615,283.7734307692308,288.9114153846154,294.0494,Blount,Alabama
7,7,"Bullock County, Alabama",1011.0,597.64,554.67,489.31,473.94,441.62,391.51,344.74,322.56,"-46.03 (-51.20, -40.25)",589.046,580.452,571.858,563.264,541.598,528.526,515.454,502.38200000000006,486.2360000000001,483.162,480.088,477.01400000000007,467.47600000000006,461.012,454.548,448.08400000000006,431.59800000000007,421.576,411.554,401.532,382.15600000000006,372.802,363.448,354.09400000000005,340.30400000000003,335.868,331.432,276.8448092307692,284.5037953846154,292.16278153846156,299.82176769230773,307.48075384615385,315.13974,Bullock,Alabama
8,8,"Butler County, Alabama",1013.0,550.37,521.27,480.51,476.14,448.95,422.02,377.33,382.55,"-30.49 (-36.39, -24.17)",544.5500000000001,538.73,532.9100000000001,527.09,513.118,504.966,496.814,488.662,479.636,478.762,477.888,477.014,470.70200000000006,465.264,459.826,454.388,443.564,438.178,432.792,427.406,413.082,404.144,395.206,386.268,378.374,379.418,380.462,340.72214769230766,345.8595261538461,350.99690461538455,356.13428307692305,361.2716615384615,366.40904,Butler,Alabama
9,9,"Calhoun County, Alabama",1015.0,537.99,499.67,460.7,447.25,451.62,414.93,371.19,368.25,"-31.55 (-35.51, -26.97)",530.326,522.662,514.998,507.33400000000006,491.876,484.082,476.288,468.494,458.01,455.32,452.63,449.94,448.124,448.998,449.872,450.746,444.282,436.944,429.606,422.268,406.182,397.434,388.686,379.938,370.602,370.014,369.426,342.1535507692308,346.57382461538464,350.99409846153844,355.4143723076923,359.83464615384617,364.25492,Calhoun,Alabama
10,10,"Chambers County, Alabama",1017.0,485.45,469.38,421.35,415.96,400.87,366.22,329.55,326.33,"-32.78 (-37.71, -27.36)",482.236,479.022,475.808,472.5940000000001,459.774,450.168,440.562,430.956,420.2720000000001,419.194,418.116,417.038,412.942,409.924,406.906,403.888,393.94000000000005,387.01,380.08,373.1500000000001,358.8860000000001,351.552,344.218,336.88400000000007,328.90600000000006,328.262,327.618,293.2656984615385,298.0377507692308,302.80980307692306,307.5818553846154,312.3539076923077,317.12595999999996,Chambers,Alabama
11,11,"Cherokee County, Alabama",1019.0,542.97,497.49,442.45,421.88,396.95,349.86,300.23,301.07,"-44.55 (-49.40, -39.34)",533.874,524.778,515.682,506.586,486.482,475.474,464.466,453.458,438.336,434.222,430.108,425.994,416.894,411.908,406.922,401.936,387.532,378.114,368.696,359.278,339.934,330.00800000000004,320.082,310.15600000000006,300.398,300.56600000000003,300.73400000000004,246.2020184615385,253.1335907692308,260.0651630769231,266.9967353846154,273.9283076923077,280.85988000000003,Cherokee,Alabama
