,Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014","Mortality Rate, 1981*","Mortality Rate, 1982*","Mortality Rate, 1983*","Mortality Rate, 1984*","Mortality Rate, 1986*","Mortality Rate, 1987*","Mortality Rate, 1988*","Mortality Rate, 1989*","Mortality Rate, 1991*","Mortality Rate, 1992*","Mortality Rate, 1993*","Mortality Rate, 1994*","Mortality Rate, 1996*","Mortality Rate, 1997*","Mortality Rate, 1998*","Mortality Rate, 1999*","Mortality Rate, 2001*","Mortality Rate, 2002*","Mortality Rate, 2003*","Mortality Rate, 2004*","Mortality Rate, 2006*","Mortality Rate, 2007*","Mortality Rate, 2008*","Mortality Rate, 2009*","Mortality Rate, 2011*","Mortality Rate, 2012*","Mortality Rate, 2013*"
0,United States,,507.37,468.1,410.43,384.09,349.75,298.31,257.23,252.7,"-50.20 (-50.82, -49.55)",499.516,491.662,483.808,475.954,456.56600000000003,445.03200000000004,433.498,421.96400000000006,405.16200000000003,399.894,394.626,389.358,377.222,370.354,363.486,356.618,339.462,329.174,318.88599999999997,308.598,290.09400000000005,281.878,273.66200000000003,265.446,256.324,255.418,254.512
1,Alabama,1.0,516.87,485.17,436.61,414.45,397.4,352.09,310.55,310.59,"-39.91 (-40.97, -38.84)",510.53000000000003,504.19000000000005,497.85,491.51000000000005,475.458,465.746,456.034,446.322,432.178,427.746,423.31399999999996,418.882,411.04,407.63,404.21999999999997,400.81,388.338,379.27599999999995,370.214,361.152,343.782,335.474,327.166,318.858,310.558,310.56600000000003,310.574
2,"Autauga County, Alabama",1001.0,552.68,523.12,470.3,437.74,413.92,368.83,316.82,316.36,"-42.76 (-47.26, -37.68)",546.768,540.856,534.944,529.032,512.556,501.992,491.428,480.86400000000003,463.788,457.276,450.764,444.252,432.976,428.212,423.448,418.684,404.90200000000004,395.884,386.866,377.848,358.428,348.02599999999995,337.624,327.22200000000004,316.728,316.63599999999997,316.544
3,"Baldwin County, Alabama",1003.0,445.67,419.28,379.58,357.73,333.18,308.99,279.98,272.04,"-38.96 (-42.73, -34.94)",440.39200000000005,435.114,429.836,424.558,411.34,403.4,395.46,387.52,375.21,370.84000000000003,366.47,362.1,352.82000000000005,347.91,343.0,338.09000000000003,328.34200000000004,323.504,318.66600000000005,313.82800000000003,303.188,297.386,291.584,285.78200000000004,278.39200000000005,276.80400000000003,275.216
4,"Barbour County, Alabama",1005.0,515.53,468.71,417.73,387.08,364.29,301.04,264.63,255.09,"-50.52 (-54.72, -45.98)",506.166,496.802,487.438,478.074,458.514,448.318,438.122,427.92600000000004,411.6,405.47,399.34000000000003,393.21,382.522,377.964,373.406,368.848,351.64000000000004,338.99,326.34000000000003,313.69000000000005,293.75800000000004,286.476,279.194,271.91200000000003,262.722,260.81399999999996,258.906
5,"Bibb County, Alabama",1007.0,548.69,532.76,484.34,491.84,463.34,409.25,374.27,378.09,"-31.09 (-37.21, -24.74)",545.504,542.318,539.1320000000001,535.946,523.076,513.392,503.70799999999997,494.024,485.84,487.34,488.84,490.34,486.14,480.44,474.73999999999995,469.04,452.52200000000005,441.70399999999995,430.88599999999997,420.06800000000004,402.254,395.258,388.262,381.266,375.034,375.798,376.562
6,"Blount County, Alabama",1009.0,473.26,451.88,412.63,399.31,378.91,347.79,307.45,307.9,"-34.94 (-40.33, -29.47)",468.98400000000004,464.70799999999997,460.432,456.156,444.03000000000003,436.18,428.33,420.48,409.96600000000007,407.302,404.63800000000003,401.97400000000005,395.23,391.15,387.07000000000005,382.99000000000007,372.68600000000004,366.462,360.23800000000006,354.014,339.72200000000004,331.654,323.586,315.51800000000003,307.54,307.63,307.71999999999997
7,"Bullock County, Alabama",1011.0,597.64,554.67,489.31,473.94,441.62,391.51,344.74,322.56,"-46.03 (-51.20, -40.25)",589.046,580.452,571.858,563.264,541.598,528.526,515.454,502.38200000000006,486.23600000000005,483.16200000000003,480.08799999999997,477.01400000000007,467.47600000000006,461.012,454.548,448.08400000000006,431.59800000000007,421.576,411.554,401.53200000000004,382.15600000000006,372.802,363.448,354.09400000000005,340.30400000000003,335.868,331.432
8,"Butler County, Alabama",1013.0,550.37,521.27,480.51,476.14,448.95,422.02,377.33,382.55,"-30.49 (-36.39, -24.17)",544.5500000000001,538.73,532.9100000000001,527.09,513.118,504.966,496.81399999999996,488.66200000000003,479.636,478.762,477.888,477.014,470.70200000000006,465.264,459.826,454.38800000000003,443.564,438.178,432.79200000000003,427.406,413.082,404.144,395.206,386.268,378.37399999999997,379.418,380.462
9,"Calhoun County, Alabama",1015.0,537.99,499.67,460.7,447.25,451.62,414.93,371.19,368.25,"-31.55 (-35.51, -26.97)",530.326,522.662,514.998,507.33400000000006,491.87600000000003,484.082,476.288,468.494,458.01,455.31999999999994,452.63,449.94,448.124,448.998,449.87199999999996,450.74600000000004,444.28200000000004,436.94399999999996,429.606,422.26800000000003,406.182,397.43399999999997,388.68600000000004,379.938,370.602,370.014,369.426
